Entity,Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7121964,9.4563618,10.026383,10.094638,10.624884,10.798676,11.439337,12.005531,12.044242,12.571572,12.987509,12.662463,14.155581,16.076666,16.064665,16.317806,16.782038,16.438791,16.304708,15.998364,17.022154,18.391636,19.270603,20.185104,20.083101,22.315027,22.206665,22.420172,24.733334,24.743017,26.36804,27.50511,27.32699,27.302567,26.201807,25.77124,24.49296,25.323359
Iceland,ISL,,,,,,,,,,,,,,,15.305504,16.171722,16.966124,16.718006,15.663001,16.55809,17.262842,20.020458,19.64529,21.550756,22.626572,22.681885,22.303335,25.565332,26.574371,27.845812,28.851767,28.933359,29.119734,26.27413,28.394587,27.040451,28.612049,30.275549,32.193981,31.340645,31.660143,32.187012,30.940588,31.190916,32.491634,31.630154,31.972403,35.395988,36.016937,37.761925,35.734692,36.914505,38.116077,38.93137,40.990265,43.735115,41.017879,42.293034,53.502907,51.966198,47.910744,47.348431,48.557827,47.482792,47.434498,47.978832,48.096577,48.085415
India,IND,,,,,,,,,,,,,,,,,,,,,1.5841233,1.5942718,1.583451,1.6362197,1.5696566,1.6787913,1.607498,1.5615522,1.4982196,1.3632333,1.3488595,1.298887,1.2442565,1.2238344,1.2058848,1.2038138,1.2501929,1.3098626,1.3895913,1.45433,1.5154742,1.5047181,1.5607992,1.6255416,1.7193984,1.8339047,1.9785032,2.0774083,2.2059414,2.3323698,2.382719,2.4355893,2.5015376,2.6603591,2.7746389,3.147059,3.5525711,4.0003366,4.2570391,4.5577397,5.2355585,5.6497903,5.9812398,6.1617236,6.4680362,6.7829533,7.1186538,7.5529184
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,1.9394928,2.0201466,2.1687393,2.3322968,2.4270458,2.4353302,2.5253441,2.6745601,2.7102113,2.9237275,3.1593945,3.2270408,3.0839977,3.2223959,3.3021755,3.2424798,3.2509766,3.2640777,3.284507,3.5819881,3.9022977,4.1773977,4.4065223,4.6538272,4.7576356,5.3412118,5.472012,5.4717836,4.3882914,4.348443,4.2429333,4.2601643,4.3371506,4.2960224,4.5891104,5.0369921,5.4479251,5.5765514,6.4795198,6.9240618,7.9644461,9.6639261,10.016643,10.29667,10.634439,10.614254,10.881228,11.26875
Ireland,IRL,4.6520672,4.7960143,5.0713482,5.2850451,5.4477811,5.6856503,5.7158661,5.9278841,5.936121,6.2691798,6.6444473,6.9757199,7.0762367,7.3548646,7.5354857,7.652905,7.788178,8.2898235,8.8953419,9.2989292,9.5386715,9.7948561,10.796545,11.330677,11.631923,12.319241,13.01738,14.038075,15.310881,15.539208,16.612619,17.224358,17.575886,17.462296,18.375029,18.401812,19.277132,20.662546,21.348442,22.595661,23.490772,24.454733,26.775665,28.355059,28.827583,31.828932,33.300354,35.913139,37.050026,38.412872,41.289856,43.283875,48.344299,52.285908,53.886658,56.445492,56.021301,59.531723,57.871777,60.784943,64.20047,69.324318,70.531242,68.966652,72.749329,91.498856,96.044075,99.129036
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.177824,22.72636,23.110632,23.102547,23.673502,25.022482,26.465483,27.106966,26.04278,28.125198,29.227591,29.629511,29.446829,28.824434,29.301863,30.075846,31.013042,32.232731,33.009254,34.850361,35.714134,35.279224,33.937851,33.752567,33.158165,32.770725,31.606594,30.527592,31.349033,31.81395,32.39439,33.366642,34.766922,36.690536,37.777508,37.812836,38.105255
Italy,ITA,4.5877404,4.9516559,5.0500383,5.3448434,5.4881282,5.8556032,6.0401444,6.2510185,6.4838281,6.922143,7.5328245,8.1778746,8.8652744,9.4922037,9.813879,10.628944,11.30651,11.83678,12.65291,13.534912,15.483587,16.259562,17.275341,18.70517,20.076382,19.949717,21.778297,23.246664,24.654202,26.696453,28.089077,27.497166,26.794643,26.38648,26.879433,26.911936,28.383823,29.438852,30.353039,31.663248,32.741028,33.237125,34.054062,34.947403,36.817905,38.633854,38.990223,40.652035,41.815304,42.606289,43.254021,42.523666,41.376347,41.153084,41.170815,42.700417,43.351158,44.729683,46.08728,45.958931,46.788708,48.193611,49.051674,50.018944,50.468079,50.793781,52.314011,53.288624
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7625856,6.0856934,6.091866,5.9378223,6.3745542,6.1127148,6.426918,6.9411416,6.807198,6.6698546,6.7894325,6.8138351,6.8420506,7.2047024,7.4350014,7.406148,6.8554025,,,,,,,,,,,,,,,
Japan,JPN,2.6416044,2.8877783,3.1381619,3.2359278,3.3162682,3.4288476,3.5074923,3.62273,3.8242962,4.1067042,4.5029607,4.9275827,5.3882985,5.8036437,6.3578391,6.7028208,7.2190166,7.7750969,8.6068325,9.6502132,10.598037,11.176849,12.112369,12.88447,13.210339,14.038105,14.657567,15.420078,16.397501,17.27833,18.131681,18.012115,17.606657,17.006542,16.904806,17.456308,18.919258,20.112009,21.929787,23.405376,25.24828,26.535292,27.870647,29.123993,30.292086,31.839857,33.418446,33.877354,34.128277,34.958954,35.987274,36.063423,36.683716,37.241158,37.814915,38.687721,38.737988,39.345524,39.054733,38.6922,40.082291,39.667797,40.031647,40.966282,41.293217,42.423306,42.93734,43.353165
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.447538,11.439307,11.195974,11.794693,12.378227,13.533331,14.201197,14.782426,15.111043,16.044943,17.782686,17.810238,18.968021,18.979692,19.657207,21.776661,22.929264,23.571009,23.512043,24.644011,25.696749,26.077209,28.094965
